Wavelength,Intensity,Instrument
200.0,-0.08163685139770722,Spec_001
201.0,-0.09392206054351496,Spec_001
202.0,0.10452745332946972,Spec_001
203.0,-0.10864635673332088,Spec_001
204.0,0.007538341721919085,Spec_001
205.0,0.034377308627627126,Spec_001
206.0,0.029248724837411266,Spec_001
207.0,0.03639547520431381,Spec_001
208.0,0.033187612979802855,Spec_001
209.0,0.12555777178821692,Spec_001
210.0,-0.03711147368704168,Spec_001
211.0,-0.005586324977655779,Spec_001
212.0,0.045727515775996354,Spec_001
213.0,0.03140543757727903,Spec_001
214.0,-0.049942234074135776,Spec_001
215.0,-0.039231521267094296,Spec_001
216.0,0.042550057429152986,Spec_001
217.0,-0.06080364820328348,Spec_001
218.0,-0.006155334825425945,Spec_001
219.0,-0.02190670649915199,Spec_001
220.0,0.056347116258456065,Spec_001
221.0,0.082358445285983,Spec_001
222.0,0.035754974875767315,Spec_001
223.0,0.044436797724035866,Spec_001
224.0,-0.08919660120161418,Spec_001
225.0,-0.01443235963669773,Spec_001
226.0,-0.08999378169719277,Spec_001
227.0,0.033555547882675445,Spec_001
228.0,-0.051671910100709206,Spec_001
229.0,0.09742281056421055,Spec_001
230.0,-0.04012276542141154,Spec_001
231.0,0.08610808706670185,Spec_001
232.0,-0.0034720345419473005,Spec_001
233.0,0.001326669916209374,Spec_001
234.0,0.05917097555382819,Spec_001
235.0,0.0017168461822247225,Spec_001
236.0,-0.08284657220866871,Spec_001
237.0,0.0021121157703756143,Spec_001
238.0,-0.004961359689724763,Spec_001
239.0,0.05235236264102032,Spec_001
240.0,-0.07872387313321884,Spec_001
241.0,0.03854908052281454,Spec_001
242.0,-0.014392511229201424,Spec_001
243.0,-0.02816471765727011,Spec_001
244.0,0.0171809825888114,Spec_001
245.0,-0.03098202347015483,Spec_001
246.0,-0.020471360844180223,Spec_001
247.0,-0.008637580994087535,Spec_001
248.0,0.06891536244979933,Spec_001
249.0,-0.022727285052653257,Spec_001
250.0,-0.024100027585484442,Spec_001
251.0,0.019549361796658043,Spec_001
252.0,0.07894100482537708,Spec_001
253.0,-0.09446214352064591,Spec_001
254.0,-0.03316090735250622,Spec_001
255.0,0.10919605911254071,Spec_001
256.0,0.04343745759795183,Spec_001
257.0,-0.00021261633175167485,Spec_001
258.0,-0.05189605340356417,Spec_001
259.0,0.10620625624834236,Spec_001
260.0,-0.10220234871589641,Spec_001
261.0,0.062009014744176916,Spec_001
262.0,0.0004433789025188367,Spec_001
263.0,-0.028531758055746217,Spec_001
264.0,0.018948064757663904,Spec_001
265.0,-0.03056998240902387,Spec_001
266.0,0.03986766503785697,Spec_001
267.0,-0.06107978261414916,Spec_001
268.0,0.08316627085099813,Spec_001
269.0,0.005406026751156475,Spec_001
270.0,0.050360106199047024,Spec_001
271.0,0.0486940944466042,Spec_001
272.0,-0.022777064064446954,Spec_001
273.0,0.04359782003057079,Spec_001
274.0,0.01947215927651447,Spec_001
275.0,0.019017479916338044,Spec_001
276.0,-0.06163053017808574,Spec_001
277.0,-0.04305604579312403,Spec_001
278.0,0.02207533178732033,Spec_001
279.0,0.07273487324652549,Spec_001
280.0,-0.009692265094170885,Spec_001
281.0,-0.03956835691374737,Spec_001
282.0,-0.002446623432782052,Spec_001
283.0,0.0064813591931037595,Spec_001
284.0,-0.01875183314215383,Spec_001
285.0,-0.021889863581591208,Spec_001
286.0,0.027781994911789412,Spec_001
287.0,0.05297222793889705,Spec_001
288.0,0.01631789544855057,Spec_001
289.0,-0.049770925031647074,Spec_001
290.0,-0.023069313751912544,Spec_001
291.0,0.09115166263206495,Spec_001
292.0,-0.03498899792514431,Spec_001
293.0,0.00450940389899453,Spec_001
294.0,0.045024650321454175,Spec_001
295.0,0.020717719195772616,Spec_001
296.0,-0.010129690318757255,Spec_001
297.0,-0.03530570601359044,Spec_001
298.0,0.045998038493714394,Spec_001
299.0,0.04590842373503894,Spec_001
300.0,-0.012320851877269513,Spec_001
301.0,-0.0663496975851823,Spec_001
302.0,-0.02602176078894902,Spec_001
303.0,0.019641806672023185,Spec_001
304.0,0.03600045628682981,Spec_001
305.0,0.044557217386417845,Spec_001
306.0,-0.06408529712210893,Spec_001
307.0,-0.008921223739756231,Spec_001
308.0,0.09158976492706364,Spec_001
309.0,-0.0001574023586033875,Spec_001
310.0,0.01765453179210683,Spec_001
311.0,0.03936949809999275,Spec_001
312.0,0.010836625449757626,Spec_001
313.0,0.01703407924607695,Spec_001
314.0,0.04672934011629942,Spec_001
315.0,0.014588608500581097,Spec_001
316.0,-0.07489116838673057,Spec_001
317.0,0.053753862693216324,Spec_001
318.0,0.017391446424912672,Spec_001
319.0,0.022665853005344364,Spec_001
320.0,0.041317003103899776,Spec_001
321.0,0.08153644330116355,Spec_001
322.0,0.0076138616566259615,Spec_001
323.0,0.035831371271650335,Spec_001
324.0,0.08489545214232766,Spec_001
325.0,0.05893896539960118,Spec_001
326.0,0.13999680729225883,Spec_001
327.0,0.10646613755849844,Spec_001
328.0,0.01565881919017404,Spec_001
329.0,0.06771208439025772,Spec_001
330.0,0.09519835374988389,Spec_001
331.0,0.09787298038932932,Spec_001
332.0,0.055914608603059586,Spec_001
333.0,0.1180915516341118,Spec_001
334.0,0.045994545182703794,Spec_001
335.0,-0.08041194968911161,Spec_001
336.0,0.012888676599503768,Spec_001
337.0,0.12652759089389248,Spec_001
338.0,-0.01468921078132561,Spec_001
339.0,0.1564779610672421,Spec_001
340.0,0.13521647786244909,Spec_001
341.0,0.04902142951937537,Spec_001
342.0,0.07622064287167468,Spec_001
343.0,0.09835075056854331,Spec_001
344.0,0.04330409820140706,Spec_001
345.0,0.10909877757913637,Spec_001
346.0,0.16962433141971897,Spec_001
347.0,0.19167590818054164,Spec_001
348.0,0.10878094610678594,Spec_001
349.0,0.17477004077030656,Spec_001
350.0,0.09562070243642895,Spec_001
351.0,0.22559985421686463,Spec_001
352.0,0.06678100443336943,Spec_001
353.0,0.1703003598396547,Spec_001
354.0,0.11632377860157127,Spec_001
355.0,0.14131586724791642,Spec_001
356.0,0.250929721322974,Spec_001
357.0,0.227648329012125,Spec_001
358.0,0.10489120279510492,Spec_001
359.0,0.256812736430352,Spec_001
360.0,0.28520194758205447,Spec_001
361.0,0.21838432549360634,Spec_001
362.0,0.17922902244319294,Spec_001
363.0,0.29759102246132574,Spec_001
364.0,0.20761252679925482,Spec_001
365.0,0.3596239961724237,Spec_001
366.0,0.22947434915084672,Spec_001
367.0,0.2750320524203837,Spec_001
368.0,0.17918779382851963,Spec_001
369.0,0.22169863193520242,Spec_001
370.0,0.284355081731185,Spec_001
371.0,0.3346975076801119,Spec_001
372.0,0.41130731973359913,Spec_001
373.0,0.290639562258709,Spec_001
374.0,0.33446604765181964,Spec_001
375.0,0.389227519781581,Spec_001
376.0,0.3455430525606278,Spec_001
377.0,0.4073859453033277,Spec_001
378.0,0.350626185676267,Spec_001
379.0,0.33020152391548074,Spec_001
380.0,0.3561901940269668,Spec_001
381.0,0.3640394897720235,Spec_001
382.0,0.4725932125697517,Spec_001
383.0,0.46103435671845583,Spec_001
384.0,0.5087085780923783,Spec_001
385.0,0.3057026170514532,Spec_001
386.0,0.43676353192943146,Spec_001
387.0,0.355814865303563,Spec_001
388.0,0.5307189031852472,Spec_001
389.0,0.5068095059298889,Spec_001
390.0,0.4835522384239941,Spec_001
391.0,0.47610548699555577,Spec_001
